pdb,subcat,detail
101d,ligand,mg
102d,ligand,
109d,ligand,mg
110d,ligand,
111d,free,
112d,free,
113d,free,
114d,free,
115d,free,
116d,free,
117d,free,
118d,free,
119d,metal,mg
121d,ligand,
122d,free,
123d,free,
126d,free,
127d,ligand,
128d,ligand,
129d,ligand,
130d,ligand,
131d,ligand,na
133d,free,
137d,free,
138d,free,
144d,ligand,
145d,ligand,
150d,metal,mg
151d,ligand,
152d,ligand,
153d,free,
154d,ligand,
158d,metal,ca
159d,ligand,mg
160d,free,
166d,ligand,
167d,free,
172d,free,
178d,free,
180d,free,
181d,free,
182d,ligand,
183d,free,
184d,metal,mg
187d,free,
188d,free,
189d,free,
190d,free,
191d,metal,na
192d,metal,na
194d,metal,na
195d,ligand,
196d,metal,ca
197d,free,
198d,ligand,
1a2e,metal,pt
1agl,ligand,
1aio,metal,pt
1ana,free,
1bd1,ligand,
1bdn,metal,mg
1bna,free,
1bqj,free,
1c9z,ligand,
1cgc,free,
1cn0,free,
1cvx,ligand,
1cvy,ligand,
1cw9,metal,ca
1d10,ligand,na
1d11,ligand,na
1d12,ligand,na
1d13,free,
1d14,ligand,
1d15,ligand,
1d16,free,
1d17,ligand,
1d21,ligand,
1d22,ligand,
1d23,metal,mg
1d24,free,
1d26,free,
1d27,free,
1d28,free,
1d29,free,
1d30,ligand,
1d31,free,
1d32,ligand,
1d33,ligand,mg
1d35,ligand,mg
1d36,ligand,mg
1d37,ligand,
1d38,ligand,mg
1d39,metal,cu na
1d3r,free,
1d40,metal,cu
1d41,metal,mg
1d43,ligand,mg
1d44,ligand,mg
1d45,ligand,mg
1d46,ligand,mg
1d48,ligand,
1d49,metal,mg
1d53,free,
1d54,ligand,
1d56,metal,ca
1d57,metal,mg
1d58,ligand,
1d59,free,
1d60,metal,mg
1d61,metal,ca
1d62,free,
1d63,ligand,mg
1d64,ligand,
1d65,free,
1d67,ligand,
1d75,free,
1d76,free,
1d77,free,
1d78,free,
1d79,free,
1d7z,anology,hna
1d80,free,
1d81,free,
1d82,free,
1d85,ligand,
1d86,ligand,
1d89,free,
1d8g,metal,ca
1d8x,metal,co mg 
1d90,free,
1d91,free,
1d92,free,
1d93,free,
1d97,free,
1d98,free,
1d99,free,
1d9r,metal,co
1da0,ligand,
1da1,metal,mg
1da2,free,
1da3,free,
1da9,ligand,
1dc0,free,
1dcg,metal,mg
1dcr,ligand,mg na
1dcv,free,
1dcw,metal,na
1dj6,ligand,mg
1dl8,ligand,
1dn4,free,
1dn5,free,
1dn6,free,
1dn8,metal,co
1dn9,free,
1dne,ligand,
1dnf,metal,mg
1dnh,ligand,
1dnm,free,
1dns,ligand,
1dnz,metal,mg
1dou,metal,mg
1dpl,ligand,mg
1dpn,metal,mg
1dvl,ligand,
1edr,ligand,mg
1eel,ligand,
1eg6,ligand,co
1ehv,free,
1ei4,ligand,mg
1em0,ligand,mg
1en3,metal,mg
1en8,metal,ca
1en9,metal,mg
1ene,metal,ca
1enn,metal,mg
1f69,metal,co mg
1f6c,ligand,
1f6e,free,
1f6i,free,
1f6j,free,
1fd5,ligand,co mg
1fdg,ligand,co mg
1fhy,ligand,ca
1fhz,ligand,
1fmq,ligand,mg
1fms,ligand,mg
1fn1,ligand,co
1fn2,ligand,co na
1fq2,ligand,mg
1ftd,ligand,mg
1g00,free,
1g3x,ligand,mg
1g6d,metal,zn
1g75,metal,k mg
1g8n,metal,mg
1g8u,free,
1g8v,free,
1gqu,free,
1hq7,free,
1hzs,anology,pna
1i0f,metal,ba
1i0g,metal,na
1i0j,metal,cs
1i0k,metal,cs
1i0m,metal,rb
1i0n,metal,rb
1i0o,metal,k
1i0p,metal,k
1i0q,metal,na
1i0t,ligand,
1i1p,ligand,pt
1i3t,metal,mg
1i47,metal,mg
1i5w,free,
1ick,ligand,mg
1ih1,metal,co mg
1ih2,free,
1ih3,free,
1ih4,free,
1ih6,free,
1ihh,ligand,pt ba
1ikk,metal,mg
1ilc,free,
1imr,ligand,
1ims,ligand,
1ixj,metal,co mg
1j8l,metal,mg
1jes,metal,cu
1jgr,metal,ti mg
1jpq,metal,k
1jrn,metal,k
1jtl,ligand,
1juc,free,
1jux,ligand,
1k2l,ligand,co
1k2z,ligand,
1k8p,metal,k na
1k9g,ligand,
1kci,ligand,
1kf1,metal,k
1kgk,ligand,
1l1h,ligand,k
1l4j,metal,ca na
1l6b,metal,ca
1lex,ligand,
1ley,ligand,
1ljx,metal,mg
1lp7,metal,mg
1lu5,metal,pt
1m69,ligand,
1m6f,ligand,mg
1m6g,metal,sr
1m6r,free,
1m77,metal,co
1ma8,free,
1mf5,metal,co
1mlx,free,
1n1o,metal,mg
1n4e,free,
1n5c,metal,na
1nab,ligand,
1ndn,free,
1ngt,metal,mg
1nqs,metal,ca
1nr8,anology,pna
1nt8,metal,ca
1nvn,metal,ca
1nvy,metal,sr
1nzg,free,
1o0k,ligand,na
1o55,metal,co
1o56,free,
1omk,metal,co
1p1y,metal,mg
1p20,ligand,ti
1p25,metal,ni
1p26,metal,zn
1p4y,metal,na
1p4z,metal,na
1p54,metal,ca na
1pnn,anology,pna
1prp,ligand,
1pup,anology,pna
1puy,metal,mg
1pwf,ligand,
1qc1,metal,mg
1qda,ligand,
1qp5,metal,mg
1qph,free,
1qpy,anology,pna
1qv4,ligand,
1qv8,ligand,
1qzl,metal,co
1r2o,metal,ni
1r3g,metal,mg
1r3z,free,
1r41,free,
1r68,ligand,
1rqy,ligand,co mg
1rru,anology,pna
1rsb,free,
1s1k,metal,ca na
1s1l,free,
