pdb,subcat,detail
157d,free,
165d,metal,rh
1csl,free,
1d4r,metal,mg
1ddy,ligand,
1dqf,metal,ca
1dqh,free,
1duh,metal,lu mg
1duq,metal,na
1ehz,metal,mn mg
1et4,ligand,
1evv,ligand,mg
1f1t,ligand,sr
1f27,ligand,mg
1fg0,free,
1fuf,ligand,mg
1g2j,metal,ca
1gid,metal,co mg
1hr2,metal,mg
1i7j,ligand,mg
1i9v,ligand,mg
1i9x,free,
1ik5,metal,mg
1j6s,metal,ba na
1j7t,ligand,
1j8g,ligand,sr ca na
1j9h,metal,ca
1jzv,metal,mg
1kd3,metal,ti
1kd4,metal,ba
1kd5,free,
1kfo,free,
1kh6,free,
1kxk,metal,mg
1l2x,metal,k mg na
1l3d,free,
1l3z,metal,na
1l8v,metal,mg
1lc4,ligand,
1lnt,metal,ca mg
1mdg,metal,co na
1mhk,free,
1msy,free,
1mwl,ligand,
1nlc,metal,zn
1nta,ligand,ba na
1ntb,ligand,mg na
1nuj,metal,mg
1nuv,metal,sr mg 
1nyi,ligand,co
1o3z,metal,ru mg
1o9m,ligand,
1osu,free,
1p79,metal,k
1q29,metal,co
1q93,metal,na
1q96,free,
1q9a,free,
1qbp,free,
1qc0,metal,nh4
1qcu,metal,nh4
1r3o,anology,lrna
1rna,free,
1rxa,free,
1rxb,free,
1sa9,free,
1saq,free,
1sdr,free,
1t0d,free,
1t0e,free,
1tn1,ligand,pb mg
1tn2,ligand,pb mg
1tra,metal,mg
1u9s,metal,ba
1vtq,free,
1wvd,metal,co
1x9c,metal,co
1xjr,metal,mg
1xp7,metal,mg na
1xpe,metal,mg na
1xpf,ligand,mg na
1y26,ligand,mg
1y27,ligand,
1y3o,metal,mn na
1y3s,metal,k mg
1y6s,metal,ba
1y6t,metal,co na
1y73,metal,pt mg
1y95,metal,pb mg
1y99,metal,mg
1yfg,free,
1yls,ligand,mg
1yrj,ligand,k mg
1yxp,metal,zn
1yzd,metal,ca
1z43,free,
1z79,metal,ca
1z7f,metal,sr
1zci,metal,k
1zev,free,
1zft,metal,co
1zfv,metal,co
1zfx,metal,co
1zx7,free,
1zz5,ligand,mg
205d,free,
255d,free,
259d,free,
280d,free,
283d,metal,mn
299d,free,
2a04,ligand,mg
2a0p,free,
2a43,metal,mg
2ao5,metal,mg
2awe,metal,sr k
2b57,ligand,co
2b8r,metal,mg na
2b8s,metal,mg na
2bcy,metal,co
2bcz,metal,co
2be0,ligand,
2bee,ligand,
2cky,ligand,os mg
2d2k,metal,co
2d2l,metal,co
2ees,ligand,co
2eet,ligand,co
2eeu,ligand,co
2eev,ligand,co
2eew,ligand,co
2esi,ligand,
2esj,ligand,
2et3,ligand,
2et4,ligand,
2et5,ligand,
2et8,ligand,
2f4s,ligand,
2f4t,ligand,
2f4u,ligand,
2fcx,ligand,k
2fcy,ligand,k
2fcz,ligand,k
2fd0,ligand,k
2fgp,metal,co
2fqn,metal,co mg
2g32,metal,ca
2g3s,metal,mg
2g5k,ligand,mg
2g91,metal,mg
2g92,free,
2g9c,ligand,co
2gcs,metal,mg
2gcv,ligand,mg
2gdi,ligand,k mg na
2gis,ligand,ir mg
2gpm,anology,lrna
